7 20
4 7 2
6 4 65
7 5 4
1 6 51
4 5 91
1 7 4
4 2 84
5 6 85
7 3 42
3 1 84
6 7 8
5 2 6
1 4 5
5 3 8
1 5 166
8 21
1 2 21
2 3 31
2 4 10
4 5 28
1 6 10
2 7 65
4 8 70
6 5 71
1 8 75
1 5 89
1 4 76
8 2 61
5 2 91
6 7 51
5 7 63
1 3 77
7 1 79
3 7 42
7 8 63
8 3 13
6 3 97
3 7 206
15 29
1 2 41
2 3 60
2 4 89
2 5 94
1 6 63
5 7 68
5 8 85
1 9 23
5 10 73
1 11 51
3 12 15
9 13 97
13 14 80
6 15 56
9 3 16
10 8 75
4 15 91
1 5 5
9 6 13
3 5 36
5 4 79
13 11 93
11 3 37
11 12 92
13 3 30
12 8 100
5 15 23
8 13 62
3 10 49
7 5 219
2 1
1 2 71
1 2 186
7 19
1 2 49
1 3 84
2 4 92
3 5 52
3 6 57
1 7 61
4 1 39
3 2 41
2 7 64
5 6 23
7 4 94
5 4 4
5 1 87
5 2 32
3 7 32
3 4 49
2 6 68
7 6 4
4 6 82
6 2 205
21 37
1 2 6
2 3 36
3 4 68
2 5 44
1 6 19
3 7 32
6 8 15
5 9 80
5 10 34
7 11 18
7 12 71
3 13 54
8 14 64
5 15 98
10 16 52
1 17 55
17 18 44
7 19 48
4 20 40
18 21 48
17 8 87
15 8 66
12 9 85
16 20 56
9 13 42
6 14 91
5 18 82
16 7 77
20 2 39
13 17 39
18 4 70
20 17 84
16 5 22
20 21 5
12 6 3
15 9 39
8 12 82
4 6 187
9 9
1 2 43
1 3 99
2 4 35
3 5 48
5 6 86
5 7 82
2 8 7
7 9 92
4 3 5
6 2 13
15 27
1 2 14
2 3 100
1 4 4
2 5 49
4 6 80
1 7 74
5 8 19
8 9 13
8 10 6
2 11 90
11 12 1
3 13 47
6 14 91
3 15 24
12 6 49
13 1 48
6 2 17
9 10 96
9 15 10
7 3 74
10 4 72
8 15 72
4 13 34
9 4 5
5 15 41
7 5 12
15 10 83
11 10 48
12 28
1 2 92
1 3 71
3 4 51
2 5 71
3 6 65
4 7 14
3 8 48
7 9 59
1 10 1
1 11 47
6 12 94
1 12 10
2 6 45
9 6 44
11 5 21
1 9 70
9 4 28
9 2 73
3 10 89
12 2 79
9 8 20
6 11 4
9 10 26
10 2 57
5 10 30
11 2 23
7 10 56
5 8 20
4 10 164
16 29
1 2 9
1 3 96
2 4 25
3 5 73
1 6 60
4 7 88
5 8 11
8 9 79
6 10 43
7 11 53
6 12 8
8 13 9
3 14 79
2 15 29
9 16 72
8 16 25
13 3 50
1 13 92
2 16 31
16 13 47
15 8 89
11 16 57
13 12 17
16 7 97
13 11 20
12 16 51
14 9 19
8 10 29
9 10 11
8 6 198
4 6
1 2 98
1 3 96
3 4 92
2 3 95
2 4 100
1 4 59
2 1 250
26 28
1 2 14
1 3 21
2 4 24
2 5 78
3 6 5
4 7 28
3 8 81
3 9 49
1 10 69
6 11 86
1 12 88
7 13 94
11 14 37
12 15 51
2 16 26
8 17 53
11 18 21
9 19 32
7 20 89
14 21 70
17 22 86
6 23 41
16 24 46
6 25 93
5 26 78
3 4 38
9 21 26
1 7 4
5 17 196
29 39
1 2 80
2 3 19
2 4 82
4 5 13
1 6 84
4 7 85
2 8 99
8 9 47
7 10 59
8 11 92
8 12 35
7 13 74
1 14 78
12 15 1
8 16 36
7 17 98
1 18 59
8 19 34
12 20 56
20 21 59
5 22 56
20 23 73
6 24 24
6 25 81
24 26 89
5 27 82
17 28 9
2 29 77
27 23 13
16 21 62
29 14 30
11 20 86
6 17 77
15 17 49
24 27 19
2 9 7
7 11 29
2 13 6
24 13 35
7 10 169
20 39
1 2 74
2 3 81
3 4 23
3 5 68
5 6 77
5 7 99
7 8 87
5 9 22
7 10 76
5 11 77
7 12 5
7 13 62
7 14 98
6 15 82
2 16 44
13 17 82
8 18 31
16 19 10
9 20 64
20 16 19
11 15 5
12 4 21
10 19 97
14 15 43
1 16 92
14 11 65
6 7 27
19 17 89
14 18 36
7 19 12
1 17 24
2 19 46
7 2 10
13 20 8
10 6 66
3 6 40
20 3 54
15 10 69
13 1 56
2 5 104
16 20
1 2 25
1 3 15
3 4 44
1 5 77
5 6 27
3 7 60
1 8 51
5 9 90
8 10 17
2 11 5
10 12 14
11 13 91
13 14 52
11 15 71
12 16 21
1 13 13
12 3 63
4 8 89
12 9 53
9 3 95
13 7 211
16 34
1 2 44
2 3 81
1 4 89
1 5 4
5 6 50
2 7 73
3 8 34
1 9 45
1 10 29
8 11 53
5 12 44
10 13 22
9 14 24
14 15 80
2 16 46
6 10 32
11 10 72
11 15 64
4 16 36
6 2 74
1 15 26
9 13 65
13 12 96
2 8 94
7 1 77
2 11 48
12 9 11
15 9 98
16 10 4
10 15 86
12 2 9
7 10 1
14 13 39
15 7 17
9 15 166
18 22
1 2 5
2 3 5
2 4 99
2 5 99
3 6 92
6 7 87
4 8 3
2 9 59
8 10 83
4 11 60
3 12 49
3 13 22
13 14 76
6 15 49
5 16 12
16 17 60
7 18 36
12 7 98
7 8 90
13 7 47
10 4 29
8 9 64
9 11 109
24 27
1 2 79
2 3 67
3 4 78
1 5 9
2 6 42
4 7 98
3 8 17
5 9 33
5 10 56
2 11 56
6 12 28
1 13 83
6 14 98
10 15 45
8 16 35
9 17 69
10 18 31
4 19 54
18 20 65
18 21 25
15 22 25
11 23 49
23 24 58
1 20 67
3 23 49
1 11 46
22 12 80
7 19 60
16 24
1 2 97
1 3 93
2 4 48
2 5 35
3 6 51
2 7 31
6 8 29
5 9 43
9 10 9
9 11 11
11 12 80
11 13 55
4 14 9
1 15 9
13 16 82
2 15 48
12 4 96
11 6 69
14 16 99
10 3 93
14 1 54
5 6 15
15 16 75
11 14 25
8 7 46
19 34
1 2 21
1 3 30
3 4 35
1 5 39
2 6 64
1 7 54
5 8 37
6 9 56
6 10 59
3 11 18
6 12 96
8 13 55
8 14 61
8 15 27
9 16 6
11 17 83
8 18 11
9 19 15
13 19 93
6 18 98
19 7 88
17 8 98
11 16 50
16 7 29
18 7 57
1 19 72
6 13 38
2 18 43
16 14 93
7 13 37
1 8 3
19 18 16
19 10 28
10 11 57
10 16 29
29 32
1 2 93
1 3 27
2 4 69
1 5 9
3 6 17
6 7 59
3 8 8
8 9 35
6 10 26
10 11 64
5 12 86
4 13 68
9 14 68
3 15 24
8 16 4
12 17 12
1 18 19
9 19 3
4 20 75
11 21 95
8 22 70
3 23 34
19 24 79
8 25 97
12 26 26
11 27 95
10 28 67
26 29 14
22 10 54
2 25 18
18 21 94
16 26 56
12 22 33
30 46
1 2 57
1 3 77
1 4 77
3 5 16
3 6 64
3 7 37
5 8 68
6 9 17
8 10 21
10 11 39
3 12 52
2 13 5
4 14 30
9 15 79
7 16 88
4 17 61
14 18 38
14 19 49
16 20 42
5 21 36
20 22 50
8 23 33
18 24 1
21 25 91
6 26 52
19 27 32
22 28 77
26 29 48
17 30 47
4 10 95
29 3 32
29 11 97
5 15 33
28 13 46
10 15 97
14 23 98
19 11 44
21 7 29
23 1 58
25 23 86
9 19 30
20 23 76
5 11 90
20 30 95
19 10 79
11 22 92
21 12 15
28 44
1 2 95
1 3 20
1 4 23
4 5 13
2 6 24
1 7 90
4 8 11
1 9 49
5 10 6
10 11 56
4 12 79
11 13 31
6 14 47
9 15 64
15 16 36
10 17 68
3 18 17
9 19 78
5 20 60
15 21 99
3 22 24
22 23 41
15 24 4
5 25 22
4 26 91
15 27 61
1 28 5
15 3 16
9 10 52
6 21 26
25 19 37
15 13 72
22 8 64
22 1 17
22 11 29
26 19 71
12 6 87
24 2 80
24 14 66
8 10 80
17 1 31
1 25 64
11 17 78
13 14 95
18 12 91
5 9
1 2 7
2 3 100
1 4 57
4 5 43
4 3 84
3 5 69
1 3 55
1 5 4
4 2 46
1 4 222
10 25
1 2 98
1 3 64
3 4 7
4 5 34
1 6 5
3 7 8
4 8 66
2 9 32
8 10 95
5 3 99
8 2 36
4 7 5
4 6 68
1 7 20
9 3 27
4 10 12
1 8 30
5 1 52
10 7 28
2 4 66
4 9 20
7 8 83
10 2 22
4 1 12
10 1 66
6 2 150
21 28
1 2 53
1 3 69
3 4 31
2 5 79
3 6 81
3 7 73
2 8 39
4 9 6
5 10 48
8 11 23
11 12 85
11 13 40
8 14 50
9 15 69
5 16 31
7 17 54
5 18 97
11 19 5
14 20 36
16 21 44
12 3 11
19 14 58
16 11 88
2 12 79
8 9 83
5 3 88
16 4 62
12 18 97
10 14 44
29 33
1 2 45
2 3 27
2 4 100
3 5 89
2 6 76
2 7 42
2 8 1
1 9 36
5 10 51
9 11 20
4 12 48
11 13 100
5 14 52
2 15 37
2 16 60
13 17 16
11 18 26
1 19 88
13 20 83
18 21 92
19 22 9
5 23 63
13 24 1
20 25 1
20 26 50
15 27 42
4 28 18
13 29 100
16 23 73
17 5 40
25 4 86
21 15 68
4 29 77
6 10 59
30 40
1 2 89
2 3 34
1 4 11
1 5 87
1 6 20
2 7 53
3 8 73
3 9 12
9 10 17
2 11 57
2 12 63
5 13 22
10 14 10
4 15 15
11 16 89
9 17 75
2 18 97
5 19 66
18 20 87
18 21 39
4 22 89
6 23 17
18 24 68
4 25 40
23 26 48
17 27 38
2 28 12
1 29 99
20 30 8
26 5 71
24 1 19
30 10 77
23 18 68
12 15 11
5 2 30
6 22 66
23 21 55
6 13 65
19 24 72
15 9 20
15 11 175
30 45
1 2 32
1 3 64
1 4 54
4 5 58
2 6 73
6 7 98
2 8 89
5 9 7
4 10 69
3 11 69
1 12 14
12 13 56
4 14 73
7 15 72
5 16 18
1 17 74
16 18 17
12 19 77
12 20 49
13 21 90
20 22 37
3 23 39
7 24 1
1 25 98
18 26 5
17 27 53
6 28 54
18 29 50
7 30 87
6 16 3
26 29 71
13 30 45
28 18 34
25 22 20
21 20 72
10 24 92
27 1 96
22 19 55
9 10 41
24 23 96
15 26 4
14 8 88
23 2 5
14 5 11
4 16 42
19 7 49
21 29
1 2 70
1 3 7
2 4 82
2 5 50
5 6 19
2 7 22
6 8 9
4 9 84
3 10 12
8 11 84
5 12 92
5 13 31
12 14 23
9 15 46
5 16 96
5 17 100
2 18 52
5 19 36
13 20 84
15 21 58
20 2 72
18 14 7
14 10 4
9 18 47
5 11 3
12 11 100
6 3 77
15 16 80
9 7 64
2 14 137
29 32
1 2 100
2 3 15
3 4 28
3 5 72
2 6 56
1 7 77
3 8 72
2 9 12
8 10 83
9 11 43
6 12 10
10 13 38
5 14 78
7 15 9
12 16 74
13 17 15
4 18 28
17 19 78
13 20 98
13 21 38
19 22 57
16 23 27
17 24 97
8 25 37
7 26 49
8 27 90
25 28 24
22 29 27
9 3 52
27 4 66
25 6 47
19 13 44
22 2 225
9 9
1 2 75
1 3 30
3 4 84
3 5 13
2 6 50
5 7 38
2 8 100
6 9 13
9 3 50
4 6 88
27 28
1 2 22
1 3 50
1 4 72
1 5 84
2 6 88
4 7 61
7 8 81
6 9 21
3 10 43
7 11 13
10 12 6
12 13 27
2 14 18
12 15 85
1 16 39
1 17 29
15 18 3
6 19 49
1 20 1
9 21 26
13 22 50
22 23 40
4 24 52
22 25 4
16 26 84
7 27 52
22 6 76
19 4 61
10 13 105
7 21
1 2 75
1 3 5
1 4 76
4 5 78
3 6 90
3 7 55
6 7 51
6 1 91
4 6 5
3 4 72
5 1 98
6 2 15
4 2 58
1 7 99
5 7 97
4 7 71
3 2 69
5 6 90
2 7 65
5 2 64
3 5 74
5 4 14
24 38
1 2 93
2 3 99
2 4 49
1 5 50
2 6 28
1 7 10
1 8 34
6 9 58
2 10 73
3 11 10
6 12 64
5 13 74
7 14 37
9 15 3
12 16 73
1 17 75
15 18 48
16 19 10
14 20 34
1 21 76
4 22 88
17 23 34
15 24 82
4 12 29
8 23 54
4 3 53
12 13 77
6 20 41
19 15 3
12 10 62
18 13 78
23 13 20
5 19 39
13 22 21
23 21 43
23 24 20
23 11 76
5 23 75
14 5 110
31 40
1 2 2
1 3 11
1 4 35
1 5 51
4 6 82
1 7 14
1 8 62
8 9 77
1 10 1
1 11 75
10 12 57
11 13 78
11 14 93
4 15 52
8 16 62
3 17 48
7 18 75
11 19 98
1 20 51
5 21 73
4 22 88
21 23 39
2 24 35
23 25 57
8 26 69
9 27 37
24 28 24
24 29 27
29 30 70
11 31 6
3 14 97
12 20 94
15 9 93
29 23 81
11 21 33
13 10 73
19 26 97
17 8 75
19 1 5
28 7 47
10 7 87
6 9
1 2 87
1 3 97
2 4 49
3 5 20
1 6 61
3 4 25
5 1 23
5 4 41
6 3 87
4 5 13
16 17
1 2 87
1 3 10
2 4 13
3 5 44
1 6 50
5 7 89
1 8 85
1 9 27
2 10 61
8 11 84
1 12 89
11 13 90
4 14 65
11 15 79
11 16 29
4 12 60
4 9 73
16 2 115
12 20
1 2 64
2 3 54
3 4 60
1 5 79
1 6 17
2 7 1
7 8 17
5 9 99
2 10 25
10 11 74
6 12 4
12 4 32
9 12 67
9 4 88
3 9 100
9 2 60
12 7 60
12 8 58
6 2 50
1 10 42
12 1 69
13 24
1 2 44
1 3 79
1 4 62
4 5 23
3 6 17
4 7 8
4 8 42
2 9 39
7 10 50
6 11 95
6 12 82
7 13 27
7 11 23
7 5 88
7 8 70
4 3 91
13 12 33
13 8 2
12 10 26
10 1 31
8 9 96
12 2 81
2 11 80
1 8 62
2 9 154
23 27
1 2 47
2 3 94
2 4 98
2 5 34
1 6 72
4 7 77
6 8 38
1 9 97
4 10 7
7 11 98
11 12 56
9 13 57
11 14 42
12 15 30
13 16 67
9 17 60
13 18 77
14 19 59
6 20 68
11 21 79
12 22 9
20 23 92
19 22 70
1 23 20
6 9 1
7 17 94
17 22 50
4 3 249
10 19
1 2 14
1 3 15
2 4 62
2 5 24
2 6 99
6 7 67
5 8 7
7 9 15
1 10 59
2 10 21
5 10 98
4 10 94
3 5 54
8 6 72
3 4 54
8 2 8
4 1 82
7 10 83
7 1 12
4 7 255
21 28
1 2 5
2 3 56
3 4 28
4 5 43
3 6 71
3 7 65
3 8 79
2 9 84
3 10 98
9 11 19
5 12 95
11 13 99
7 14 65
14 15 9
15 16 30
14 17 77
2 18 64
13 19 69
10 20 1
3 21 54
15 1 57
20 4 90
13 6 36
15 21 38
6 20 99
13 5 10
21 2 26
12 16 68
12 8 82
4 6
1 2 91
2 3 64
2 4 24
1 4 41
3 1 91
3 4 1
1 3 231
16 33
1 2 92
2 3 21
3 4 76
2 5 58
2 6 55
4 7 50
4 8 41
1 9 92
8 10 61
6 11 67
7 12 35
3 13 32
4 14 22
7 15 53
7 16 43
10 16 90
15 9 65
12 6 6
11 5 55
4 16 59
15 11 22
8 5 36
13 4 78
12 2 64
4 11 70
10 15 34
14 1 40
13 15 35
4 10 90
8 15 56
2 15 18
4 1 17
9 5 67
10 14 203
26 35
1 2 42
1 3 16
2 4 87
1 5 10
4 6 20
1 7 60
7 8 85
3 9 60
1 10 87
7 11 3
6 12 70
6 13 33
12 14 47
6 15 39
8 16 78
11 17 65
11 18 3
11 19 33
11 20 90
9 21 45
4 22 67
15 23 56
7 24 9
7 25 82
11 26 48
1 9 26
2 3 72
10 4 59
16 3 24
12 1 56
5 11 45
7 6 5
17 13 12
5 17 24
26 20 60
23 2 83
4 6
1 2 16
2 3 18
1 4 21
4 2 58
3 4 39
3 1 45
2 4 159
23 35
1 2 20
2 3 44
3 4 12
2 5 62
4 6 39
1 7 55
4 8 70
3 9 1
9 10 61
10 11 12
11 12 96
12 13 38
2 14 9
8 15 8
14 16 93
8 17 54
17 18 68
9 19 55
17 20 29
20 21 77
12 22 48
1 23 28
2 9 19
23 14 30
20 11 72
19 15 32
17 22 1
1 5 48
9 16 84
8 1 43
19 1 52
23 2 69
2 19 37
12 15 95
9 4 35
18 15 246
13 21
1 2 17
1 3 4
2 4 46
2 5 92
2 6 93
4 7 100
1 8 49
1 9 90
5 10 71
9 11 46
11 12 57
3 13 54
4 3 34
10 7 47
5 11 9
4 11 91
7 1 2
7 2 44
6 4 97
3 7 50
7 5 41
13 12 185
22 32
1 2 78
1 3 98
2 4 36
3 5 67
3 6 59
2 7 64
7 8 27
5 9 55
2 10 17
3 11 96
1 12 21
12 13 14
8 14 24
9 15 88
5 16 55
4 17 81
11 18 92
15 19 61
4 20 12
2 21 29
3 22 51
15 21 72
21 6 40
8 13 53
19 13 66
18 16 97
18 20 6
3 19 97
17 20 75
10 17 4
8 20 48
21 17 71
19 20 118
21 27
1 2 62
2 3 77
1 4 75
3 5 3
5 6 46
2 7 28
5 8 40
1 9 92
1 10 50
5 11 64
4 12 62
8 13 4
3 14 47
10 15 13
4 16 84
1 17 100
5 18 1
17 19 28
1 20 98
16 21 49
18 11 1
1 6 44
8 19 36
6 17 49
16 2 16
18 8 80
3 10 15
15 21 239
25 41
1 2 45
1 3 78
2 4 59
3 5 72
4 6 91
5 7 3
1 8 29
5 9 34
8 10 38
5 11 53
1 12 71
10 13 36
13 14 62
10 15 96
10 16 68
8 17 78
5 18 73
11 19 8
6 20 46
16 21 41
10 22 4
12 23 90
19 24 84
21 25 21
23 3 77
14 1 12
2 10 13
8 6 32
13 17 95
20 14 2
17 21 80
2 13 35
20 17 92
18 12 94
21 9 71
10 24 6
22 2 88
6 11 79
25 23 94
4 19 91
5 10 63
14 20 60
2 1
1 2 71
1 2 89
31 37
1 2 32
1 3 44
2 4 33
1 5 93
3 6 61
6 7 39
1 8 88
7 9 96
5 10 79
3 11 37
8 12 91
10 13 85
11 14 87
13 15 5
